"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"72","As","86314",4,0.255,3.44,2.07,1.96,1.54,1.3,3.34
"73","As","86327",33,0.154,14.1,0.99,1.8,3.2,0.942,2.75
"74","As","86333",5,0.405,5.14,0.812,1.57,2.01,0.969,2.73
"75","As",NA,2,0.28,0.314,0.297,0.297,0.0244,0.297,1.09
"76","Ba","85135",22,10.5,185,28.9,46.2,46.8,31.9,2.3
"77","Ba","85192",51,0.226,98.4,11.9,17.3,18.3,9.77,3.55
"78","Ba","85286",2,30.4,59.1,44.8,44.8,20.3,42.4,1.6
"79","Ba","85501",83,0.412,138,11.8,16.2,17.8,10.8,2.61
"80","Ba","85502",17,1.56,46.9,5.85,9.3,10.7,6.37,2.32
"81","Ba","85539",5,11.6,80.7,17.8,30.5,29,22.9,2.21
"82","Ba","85705",7,6.89,30.5,21.3,19.9,9.06,17.8,1.73
"83","Ba","85706",26,0.119,86.1,11.7,23.4,25.7,12.7,3.92
"84","Ba","85711",27,0.161,23.7,9.08,10.1,5.84,7.88,2.57
"85","Ba","85712",3,10.4,19.8,11.5,13.9,5.13,13.3,1.41
"86","Ba","85713",19,1.2,54.2,11,16.8,12.9,12.7,2.29
